,intercolumnar distance ,upper margin,lower margin,exploitation,row number,modular ratio ,interlinear spacing ,weight ,peak number ,modular ratio,class
0,0.13029200000000002,-0.314793,0.41700299999999996,1.051058,0.08296100000000001,0.439463,0.220177,0.6998270000000001,0.375899,0.40060500000000004,0
1,-0.10424100000000001,-0.314793,0.6659510000000001,-0.06411,0.17234000000000002,-1.512204,0.106925,0.11987,-0.12300499999999999,-1.312598,2
2,0.019197,-0.040001,0.288973,-0.042597,0.261718,-0.14188399999999998,0.371178,-1.180477,-0.777816,-0.209421,0
3,-0.32643,-0.6523939999999999,0.384996,-1.6942220000000001,-0.185173,-2.093552,-3.026359,-3.7349620000000003,-2.9917,-3.113659,0
4,0.031541,-0.346197,-0.009765000000000001,1.029902,0.08296100000000001,-0.432558,-3.10186,-0.692703,-0.8401790000000001,-1.852354,0
5,-0.128929,-0.134216,0.26407800000000003,0.430695,0.261718,-0.10036,0.182426,0.363824,-0.154186,-0.063434,5
6,0.278418,-0.3619,0.5023569999999999,-1.588745,0.261718,-0.266459,0.182426,-0.744019,-0.247731,-0.216835,5
7,-0.240024,-0.29909,0.694403,0.955725,0.6192300000000001,-0.266459,-1.32759,1.17436,1.124254,0.770999,11
8,-0.38815,-1.021399,0.057807000000000004,1.228564,-0.006417,1.643684,0.861934,0.681791,1.3737059999999999,1.075849,10
9,-0.030177999999999996,0.391814,0.21784499999999998,-0.07332999999999999,0.261718,-0.432558,0.371178,0.528021,0.095265,-0.45627399999999996,0
10,-3.498799,-0.16562000000000002,0.811764,-1.809159,-4.9222150000000005,-1.38763,0.182426,-2.3319080000000003,-2.430434,-1.227814,0
11,0.15498,-0.38545300000000005,0.381439,0.314237,0.261718,0.14879,0.220177,0.285833,-0.310094,0.154994,0
12,-0.277055,0.038511000000000004,0.42056000000000004,3.9871519999999996,0.17234000000000002,2.017408,0.52218,1.843162,1.9661540000000002,1.60343,10
13,1.142487,0.062064,0.125378,1.0598299999999998,0.261718,-0.058835000000000005,0.182426,0.334779,-0.933723,-0.037081,0
14,-0.030177999999999996,0.572391,5.083004,-0.109553,-1.257711,0.397939,0.446679,1.0686229999999999,0.968347,0.234148,6
15,-0.079554,-0.29123899999999997,0.388552,0.855618,0.261718,-0.8062819999999999,0.031425,0.833192,-0.216549,-0.6335569999999999,0
